Latitude,Longitude
-37.0944575,141.9477742
-34.3272277,142.3605692
-34.2843888,142.2168805
-34.5118957,143.6775101
-34.529869,144.1621111
-36.251204,145.049126
-36.7685942,144.2733486
-37.0389712,141.3404096
-34.1959795,142.2211815
-36.3773483,145.2827568
-35.7693225,144.2414156
-36.2237893,144.887434
-36.1428159,146.754231
-35.4916936,143.617566
-36.4937632,145.2101841
-36.555602,145.2895572
-36.2236852,144.8073477
-36.3380233,144.6710465
-36.3655954,145.4411768
-35.0332498,143.0426499
-37.0043976,142.2984489
-34.7762835,142.6657827
-36.3812675,144.6651773
-36.2241061,145.0418231
-36.1687664,145.049018
-37.4076247,141.9666041
-36.3125587,145.2368615
-35.8832602,143.8109293
-37.5275088,142.9327049
-36.1709337,145.5831228
-36.4008625,145.3180064
-36.94143,142.0289263
-35.9743039,145.4781954
-36.2257757,146.4596462
-35.6142303,143.7503687
-34.1560491,142.1454938
-34.2239923,142.2340442
-36.3760413,145.1641676
-34.7172546,142.8316681
-34.8036261,142.9023692
-34.7701457,142.3760112
-36.4392263,144.9354168
-35.446332,143.7336791
-36.3459867,144.650959
-36.3901519,145.4298359
-37.7676728,145.4418691
-36.2565155,144.7284804
-36.3712268,144.1371205
-36.2596292,144.5649937
-36.4702473,145.0034592
-36.2513165,144.5840681
-36.276293,144.9725072
-36.309147,144.6584753
-37.2360375,143.8610242
-36.7720666,145.2129644
-36.2593545,144.58881
-36.3053494,145.2777046
-36.3058066,145.2749225
-36.4475827,145.4486751
-35.979361,145.2396115
-38.6090786,146.7933344
-36.5418728,144.0631145
-35.815741,143.8826726
-36.2337024,144.8867521
-36.3981944,145.4239721
-36.3929019,144.936236
-36.4672731,144.9940861
-36.3834324,144.6658367
-36.2650373,145.2019927
-36.3109557,145.1742738
-36.2548072,145.0959199
-36.3598264,144.6683905
-36.5486518,145.2550151
-36.500802,145.2050683
-36.4245198,145.1707393
-36.3066876,145.2431905
-36.2739638,144.4775384
-36.236176,145.058072
-36.2114525,144.898907
-36.2122164,145.0123448
-36.3890811,144.3231483
-36.4305769,145.0594456
-36.2093362,144.6159897
-36.4234176,145.4515453
-36.2648857,144.5259007
-36.395493,145.4797198
-36.2665952,145.2364977
-36.2062701,146.3094909
-36.458422,144.9332808
-36.3322327,144.6329764
-35.9684156,145.0596449
-36.342504,145.2249221
-38.0140445,143.3502197
