Lon,Lat,lon1,lon2,lat1,lat2,StressLevel
144.6499999999998,-37.749999999999986,144.5999999999998,144.6999999999998,-37.79999999999998,-37.69999999999998,1
144.6499999999998,-37.54999999999998,144.5999999999998,144.6999999999998,-37.59999999999998,-37.49999999999998,1
144.6499999999998,-37.049999999999976,144.5999999999998,144.6999999999998,-37.09999999999997,-36.99999999999997,2
144.6499999999998,-36.44999999999997,144.5999999999998,144.6999999999998,-36.499999999999964,-36.39999999999996,2
144.6499999999998,-36.349999999999966,144.5999999999998,144.6999999999998,-36.39999999999996,-36.29999999999996,19
144.6499999999998,-36.249999999999964,144.5999999999998,144.6999999999998,-36.29999999999996,-36.19999999999996,16
144.6499999999998,-36.14999999999996,144.5999999999998,144.6999999999998,-36.19999999999996,-36.09999999999996,1
144.7499999999998,-38.349999999999994,144.6999999999998,144.79999999999978,-38.39999999999999,-38.29999999999999,1
144.7499999999998,-36.349999999999966,144.6999999999998,144.79999999999978,-36.39999999999996,-36.29999999999996,7
144.7499999999998,-36.249999999999964,144.6999999999998,144.79999999999978,-36.29999999999996,-36.19999999999996,4
144.8499999999998,-38.449999999999996,144.79999999999978,144.89999999999978,-38.49999999999999,-38.39999999999999,1
144.8499999999998,-38.349999999999994,144.79999999999978,144.89999999999978,-38.39999999999999,-38.29999999999999,1
144.8499999999998,-36.64999999999997,144.79999999999978,144.89999999999978,-36.69999999999997,-36.599999999999966,2
144.8499999999998,-36.54999999999997,144.79999999999978,144.89999999999978,-36.599999999999966,-36.499999999999964,1
144.8499999999998,-36.44999999999997,144.79999999999978,144.89999999999978,-36.499999999999964,-36.39999999999996,1
144.8499999999998,-36.349999999999966,144.79999999999978,144.89999999999978,-36.39999999999996,-36.29999999999996,2
144.8499999999998,-36.249999999999964,144.79999999999978,144.89999999999978,-36.29999999999996,-36.19999999999996,9
144.8499999999998,-36.14999999999996,144.79999999999978,144.89999999999978,-36.19999999999996,-36.09999999999996,2
144.9499999999998,-37.54999999999998,144.89999999999978,144.99999999999977,-37.59999999999998,-37.49999999999998,1
144.9499999999998,-37.24999999999998,144.89999999999978,144.99999999999977,-37.299999999999976,-37.199999999999974,1
144.9499999999998,-36.44999999999997,144.89999999999978,144.99999999999977,-36.499999999999964,-36.39999999999996,20
144.9499999999998,-36.349999999999966,144.89999999999978,144.99999999999977,-36.39999999999996,-36.29999999999996,18
144.9499999999998,-36.249999999999964,144.89999999999978,144.99999999999977,-36.29999999999996,-36.19999999999996,17
144.9499999999998,-36.14999999999996,144.89999999999978,144.99999999999977,-36.19999999999996,-36.09999999999996,1
144.9499999999998,-36.04999999999996,144.89999999999978,144.99999999999977,-36.09999999999996,-35.99999999999996,1
145.04999999999978,-36.44999999999997,144.99999999999977,145.09999999999977,-36.499999999999964,-36.39999999999996,11
145.04999999999978,-36.349999999999966,144.99999999999977,145.09999999999977,-36.39999999999996,-36.29999999999996,7
145.04999999999978,-36.249999999999964,144.99999999999977,145.09999999999977,-36.29999999999996,-36.19999999999996,27
145.04999999999978,-36.14999999999996,144.99999999999977,145.09999999999977,-36.19999999999996,-36.09999999999996,8
145.04999999999978,-35.94999999999996,144.99999999999977,145.09999999999977,-35.99999999999996,-35.899999999999956,5
145.14999999999978,-36.949999999999974,145.09999999999977,145.19999999999976,-36.99999999999997,-36.89999999999997,1
145.14999999999978,-36.74999999999997,145.09999999999977,145.19999999999976,-36.79999999999997,-36.69999999999997,2
145.14999999999978,-36.54999999999997,145.09999999999977,145.19999999999976,-36.599999999999966,-36.499999999999964,3
145.14999999999978,-36.44999999999997,145.09999999999977,145.19999999999976,-36.499999999999964,-36.39999999999996,18
145.14999999999978,-36.349999999999966,145.09999999999977,145.19999999999976,-36.39999999999996,-36.29999999999996,22
145.14999999999978,-35.84999999999996,145.09999999999977,145.19999999999976,-35.899999999999956,-35.799999999999955,3
145.24999999999977,-38.14999999999999,145.19999999999976,145.29999999999976,-38.19999999999999,-38.09999999999999,1
145.24999999999977,-37.049999999999976,145.19999999999976,145.29999999999976,-37.09999999999997,-36.99999999999997,1
145.24999999999977,-36.64999999999997,145.19999999999976,145.29999999999976,-36.69999999999997,-36.599999999999966,3
145.24999999999977,-36.54999999999997,145.19999999999976,145.29999999999976,-36.599999999999966,-36.499999999999964,6
145.24999999999977,-36.44999999999997,145.19999999999976,145.29999999999976,-36.499999999999964,-36.39999999999996,16
145.24999999999977,-36.349999999999966,145.19999999999976,145.29999999999976,-36.39999999999996,-36.29999999999996,24
145.24999999999977,-36.14999999999996,145.19999999999976,145.29999999999976,-36.19999999999996,-36.09999999999996,1
145.24999999999977,-36.04999999999996,145.19999999999976,145.29999999999976,-36.09999999999996,-35.99999999999996,16
145.34999999999977,-38.349999999999994,145.29999999999976,145.39999999999975,-38.39999999999999,-38.29999999999999,1
145.34999999999977,-38.24999999999999,145.29999999999976,145.39999999999975,-38.29999999999999,-38.19999999999999,1
145.34999999999977,-37.84999999999999,145.29999999999976,145.39999999999975,-37.899999999999984,-37.79999999999998,1
145.34999999999977,-36.74999999999997,145.29999999999976,145.39999999999975,-36.79999999999997,-36.69999999999997,1
145.34999999999977,-36.44999999999997,145.29999999999976,145.39999999999975,-36.499999999999964,-36.39999999999996,2
145.34999999999977,-36.349999999999966,145.29999999999976,145.39999999999975,-36.39999999999996,-36.29999999999996,11
145.34999999999977,-36.249999999999964,145.29999999999976,145.39999999999975,-36.29999999999996,-36.19999999999996,6
145.34999999999977,-35.84999999999996,145.29999999999976,145.39999999999975,-35.899999999999956,-35.799999999999955,1
145.44999999999976,-37.84999999999999,145.39999999999975,145.49999999999974,-37.899999999999984,-37.79999999999998,1
145.44999999999976,-37.749999999999986,145.39999999999975,145.49999999999974,-37.79999999999998,-37.69999999999998,1
145.44999999999976,-36.64999999999997,145.39999999999975,145.49999999999974,-36.69999999999997,-36.599999999999966,1
145.44999999999976,-36.44999999999997,145.39999999999975,145.49999999999974,-36.499999999999964,-36.39999999999996,17
145.44999999999976,-36.349999999999966,145.39999999999975,145.49999999999974,-36.39999999999996,-36.29999999999996,10
145.44999999999976,-36.249999999999964,145.39999999999975,145.49999999999974,-36.29999999999996,-36.19999999999996,4
145.44999999999976,-36.14999999999996,145.39999999999975,145.49999999999974,-36.19999999999996,-36.09999999999996,1
145.44999999999976,-36.04999999999996,145.39999999999975,145.49999999999974,-36.09999999999996,-35.99999999999996,21
145.44999999999976,-35.84999999999996,145.39999999999975,145.49999999999974,-35.899999999999956,-35.799999999999955,1
145.54999999999976,-36.74999999999997,145.49999999999974,145.59999999999974,-36.79999999999997,-36.69999999999997,1
145.54999999999976,-36.249999999999964,145.49999999999974,145.59999999999974,-36.29999999999996,-36.19999999999996,2
145.54999999999976,-36.14999999999996,145.49999999999974,145.59999999999974,-36.19999999999996,-36.09999999999996,14
145.54999999999976,-36.04999999999996,145.49999999999974,145.59999999999974,-36.09999999999996,-35.99999999999996,2
145.54999999999976,-35.94999999999996,145.49999999999974,145.59999999999974,-35.99999999999996,-35.899999999999956,6
145.54999999999976,-35.84999999999996,145.49999999999974,145.59999999999974,-35.899999999999956,-35.799999999999955,3
145.64999999999975,-36.74999999999997,145.59999999999974,145.69999999999973,-36.79999999999997,-36.69999999999997,1
145.64999999999975,-36.54999999999997,145.59999999999974,145.69999999999973,-36.599999999999966,-36.499999999999964,1
