Latitude,Longitude,LocalDensity,GlowSize
-36.2440676,145.5560827,27,59
-35.9778904,145.2073415,17,39
-36.5147809,144.8003654,3,11
-34.6015739,142.7898511,2,9
-36.3602126,145.1380596,101,207
-35.7945989,144.1808808,10,25
-36.3072704,145.0827343,101,207
-36.2697997,144.4734486,31,67
-36.2252037,143.7919749,4,13
-34.157513,142.1572541,13,31
-34.1570075,141.3343642,2,9
-36.2427236,145.5544041,27,59
-35.9935859,145.4793127,34,73
-36.1386196,144.8152265,19,43
-35.0851216,142.2965821,1,7
-36.6816867,143.5553749,3,11
-36.0536972,145.5418387,48,101
-36.2959482,144.7499406,47,99
-36.3176555,144.955342,98,201
-36.3474277,145.4309344,44,93
-38.342337,142.4258382,1,7
-36.2891111,145.1311414,90,185
-36.254118,145.3873491,33,71
-36.3468753,144.7526719,44,93
-36.3166518,145.161591,91,187
-36.3920864,144.9285449,66,137
-36.2679067,145.1518062,78,161
-36.4224712,145.2113276,90,185
-38.3850412,143.4718424,2,9
-36.3609658,145.4403814,42,89
-38.4441293,143.7368291,2,9
-36.4025348,145.3024716,80,165
-36.442568,145.3097792,79,163
-36.2494985,141.9755427,3,11
-37.0140229,142.9969489,2,9
-36.6204298,144.4304564,3,11
-37.0871032,143.91574,2,9
-36.0437572,146.4772875,4,13
-37.0002616,142.2902434,3,11
-36.3671478,145.141861,106,217
-37.0182165,142.9795159,2,9
-36.4822141,145.0687487,72,149
-36.443619,145.2284527,89,183
-36.1270138,143.75407,4,13
-36.2753046,145.2060267,68,141
-36.1843039,145.6123521,24,53
-36.6618486,144.8489802,2,9
-36.1786196,145.0424988,62,129
-36.3015314,144.9965595,105,215
-36.2968386,144.8062742,34,73
-36.8131134,141.3456098,3,11
-38.2165582,145.3779414,3,11
-36.3510812,145.0678518,118,241
-38.368898,144.7716305,3,11
-36.3245121,144.9816229,107,219
-36.4244622,144.9840525,73,151
-36.5091228,145.237579,57,119
-36.4761054,145.005803,59,123
-35.993559,145.3307049,31,67
-36.3073209,144.6504661,58,121
-36.2073104,144.9032495,54,113
-36.3677876,145.1342843,101,207
-36.0475832,145.429596,36,77
-36.4152703,144.9945361,82,169
-36.979932,143.2927378,3,11
-36.6522684,145.9499119,4,13
-36.3884355,144.6825354,40,85
-37.5394019,142.5684651,4,13
-36.2821073,144.5507297,55,115
-36.3058824,144.7597071,44,93
-36.3811796,144.6659579,43,91
-36.3800333,145.2513357,87,179
-36.2718702,145.2114712,66,137
-36.2815672,144.8207835,31,67
-36.2496912,144.4916117,38,81
-36.2021181,144.9663064,63,131
-36.2347093,144.4665682,30,65
-36.524408,145.293683,48,101
-38.1587389,147.1782359,4,13
-36.1919175,144.5578148,33,71
-36.0231851,145.2275436,19,43
-36.0336174,145.4032212,34,73
-36.3586332,144.6608187,48,101
-36.1506457,144.923601,43,91
-36.3967879,145.4624258,36,77
-36.2674631,145.0139118,87,179
-36.3150171,145.0884221,100,205
-36.441576,144.3462231,10,25
-34.1628505,142.140046,13,31
-36.318509,145.2771952,74,153
-36.3627763,145.4478467,40,85
-36.4534834,144.9890668,63,131
-36.3189219,145.3864498,65,135
-35.7667969,144.00148,9,23
-35.9831286,145.4800241,33,71
-36.6856667,145.4567825,2,9
-36.0250739,145.3978512,34,73
-35.2380593,143.470915,3,11
-36.4331315,146.3421314,2,9
-36.3558635,145.1495172,98,201
-36.3798264,144.665518,43,91
-37.2301756,143.5812823,2,9
-36.1729654,145.591364,27,59
-36.2422238,144.9659551,75,155
-37.1035665,141.9478598,3,11
-36.3251021,145.3844537,66,137
-38.4730847,143.681455,3,11
-36.3870815,145.1280758,96,197
-36.9401624,145.1432615,1,7
-37.8371345,145.391947,3,11
-35.1804303,141.0690774,1,7
-36.7163857,141.4417496,3,11
-36.3352036,145.2250122,81,167
-37.8102569,145.4264458,3,11
-36.3852661,146.8765151,1,7
-36.533904,145.2393308,48,101
-36.1272537,145.6123441,27,59
-36.2293655,144.5016461,37,79
-36.3210711,144.4139588,22,49
-36.3218878,144.4150663,22,49
-35.9840057,145.361269,32,69
-36.0479676,145.2283934,19,43
-36.1849042,144.6729221,32,69
-36.4962049,145.2519388,63,131
-36.1763466,145.0117833,61,127
-36.4232865,144.1359901,6,17
-36.6169063,146.2391585,2,9
-36.2133988,146.5979848,3,11
-36.4132059,143.3566026,1,7
-38.5863427,143.1268051,5,15
-36.4081476,144.9736866,80,165
-36.9941763,143.6076684,1,7
-34.4584988,141.8974757,1,7
-36.3581709,145.37283,73,151
-36.2601597,145.0308256,84,173
-36.3286163,144.6591687,53,111
-36.2474759,144.5221134,42,89
-36.381222,144.6495732,47,99
-35.702501,144.0183279,6,17
-36.6645822,145.9870507,5,15
-36.3867055,145.503497,34,73
-36.03055,145.34795,31,67
-36.1424264,145.5885744,29,63
-36.0203,145.3970501,33,71
-36.2440313,145.0008901,78,161
-36.4268788,145.0649074,89,183
-36.2499621,145.0640909,87,179
-36.4262154,145.182007,92,189
-36.7367593,145.5633537,3,11
-36.3175695,144.9679264,105,215
-36.1325655,145.5959431,28,61
-36.2806106,145.0525398,93,191
-36.3877435,145.2269493,94,193
-36.4613115,145.2586306,68,141
-36.2858479,144.9798509,96,197
-36.4250918,144.9762458,71,147
-36.0360191,145.4123326,33,71
-36.3872426,144.7091812,40,85
-36.170761,145.6082652,24,53
-36.028568,144.0389316,8,21
-36.368892,144.6877423,45,95
-36.2689351,143.8113245,3,11
-35.5281761,143.7102978,13,31
-35.5452263,143.6251058,12,29
-36.8531019,143.0615327,1,7
-36.4960703,144.324327,6,17
-36.370425,145.111443,108,221
-36.3713471,145.2667981,84,173
-36.3772444,145.2884405,87,179
-36.4544702,144.9651918,60,125
-35.7736821,143.8578418,10,25
-34.1794619,142.1090911,12,29
-34.1747305,142.1616218,13,31
-36.5005242,142.9430266,1,7
-35.6804762,143.7507389,6,17
-35.8399077,145.0458217,4,13
-36.3340553,144.6701724,54,113
-36.1383265,141.9286624,3,11
-37.9684695,143.3126315,4,13
-37.1987508,142.340994,1,7
-36.3702947,144.6137381,45,95
-38.417463,144.8365116,3,11
-36.1532114,145.6121054,25,55
-36.2652807,145.0690004,87,179
-36.2779155,144.9732858,94,193
-36.290929,144.4429112,25,55
-36.2599814,144.5876938,57,119
-36.425274,145.0108177,79,163
-36.348379,145.5087056,35,75
