Suburb,Lon,Lat,BoreCount,GlowIntensity
ORRVALE,145.44744420137934,-36.424818385172415,8,8
MORIAC,144.17550266499998,-38.25676726825,1,1
KATANDRA,145.60323839777777,-36.25405024166666,1,1
BOORHAMAN EAST,146.32861364157893,-36.170165783157906,1,1
FRENCH ISLAND,145.35102564087651,-38.36121924729084,1,1
NUMURKAH,145.42868824695904,-36.09474038614035,3,3
WOORINEN,143.47039481652175,-35.25949053,1,1
CARLISLE RIVER,143.41513931826256,-38.5717964315444,1,1
CARINA,141.0964225213483,-35.18940927134831,1,1
TOOTGAROOK,144.84926392136364,-38.380044570909085,1,1
BLAIRGOWRIE,144.77052685974363,-38.3709005248718,1,1
COBAINS,147.12417967895524,-38.075536046417916,1,1
INVERLOCH,145.72126367745452,-38.6357285289091,1,1
STANHOPE SOUTH,145.03805749166665,-36.49412922333334,1,1
YARRABERB,144.06724061612903,-36.57162977870967,2,2
BALLENDELLA,144.69083105950003,-36.29514733216667,3,3
TRESCO WEST,143.62972669222222,-35.492108853703705,6,6
JEPARIT,141.99607136603774,-36.15474427245284,2,2
JOYCES CREEK,143.98864403542373,-37.079244874576275,1,1
GLENHOPE EAST,144.6993755398824,-37.076794673294124,2,2
DENNINGTON,142.4330011772,-38.3575459804,1,1
CABARITA,142.08475875607144,-34.20154011178572,1,1
OXLEY FLATS,146.3901309409524,-36.397929254380955,1,1
MEAD,144.1102453211111,-35.809502866,1,1
GILLIESTON,145.20714400545455,-36.33390499545454,11,11
AVON PLAINS,142.92386918162788,-36.538795271627905,1,1
TOOLAMBA WEST,145.2757805490909,-36.48158500090909,7,7
VENUS BAY,145.7883038943038,-38.67147226392406,1,1
GRAHAMVALE,145.440689476875,-36.351146103125004,7,7
ZEERUST,145.39697857242425,-36.27135015969697,3,3
OLINDA,145.37984315622808,-37.85477419175439,1,1
UNDERA,145.22106770615764,-36.19238604231527,1,1
WANDIN EAST,145.45851439333336,-37.81171673666667,1,1
WANDIN NORTH,145.4289594156,-37.776849186199996,1,1
GOORNONG,144.5396180406522,-36.60704673532609,1,1
BATHUMI,146.0855305652381,-36.01767573142857,1,1
DENISON,146.8703543638912,-38.025078370753135,1,1
GATUM,141.93177314857144,-37.41072311183673,2,2
LAKE LONSDALE,142.62835405538462,-37.04100882038461,1,1
DHURRINGILE,145.18869699852942,-36.530050722058824,3,3
MORANDING,144.9443660412121,-37.22953482909091,1,1
WAAIA,145.29731610409638,-36.07457398409639,7,7
WYUNA,145.06390917024243,-36.17167002618182,8,8
BUNDALONG,146.14018195076923,-36.027870190769235,1,1
KATANDRA WEST,145.55855928,-36.253669742,2,2
DRUMANURE,145.4935572857143,-36.1482949752381,1,1
WYUNA EAST,145.095109916,-36.240063636,15,12
CARDROSS,142.13133997622643,-34.30240133509434,1,1
COOMA,145.08116269531249,-36.4077991796875,3,3
MOLYULLAH,146.1575542854945,-36.666502409230766,1,1
LANCASTER,145.15192291962964,-36.304486628888895,12,12
IRREWILLIPE EAST,143.48365161423075,-38.42639902730769,1,1
RHEOLA,143.70027144626863,-36.64914777940299,1,1
MCMILLANS,144.1622669892857,-35.851168494642856,1,1
PICOLA WEST,145.03745653150003,-35.963227664,2,2
TOORADIN,145.3879329609524,-38.21271452809523,1,1
MYSTIC PARK,143.74503024958332,-35.573096073124994,1,1
CULLEN,144.1533138262069,-35.79357465137931,2,2
YAMBUNA,144.98373232703125,-36.1294159265625,1,1
SHEPPARTON NORTH,145.369506508125,-36.312870322500004,3,3
MOOROOPNA NORTH WEST,145.25462999666667,-36.35164657583333,13,12
KIALLA WEST,145.38957180203388,-36.48275926305085,1,1
TATURA EAST,145.29385454272727,-36.437202182727276,9,9
STRATHALLAN,144.73554579622643,-36.271357183584904,4,4
KOTTA,144.53024563250003,-36.19686144166667,4,4
NANNEELLA,144.78607872966668,-36.329780579,7,7
TRESCO,143.68840771285716,-35.49788013785714,2,2
WALWA,147.73453962016126,-35.98837775279569,1,1
HATTAH,142.35946922652874,-34.674832447586205,1,1
PINE VIEW,143.66239847090912,-35.809256549090904,1,1
BADDAGINNIE,145.85999845358492,-36.61523749679245,1,1
MANGALORE,145.1439209572093,-36.9148618907752,1,1
MUCKATAH,145.62529465347828,-36.00285822086957,3,3
GIRGARRE,144.95500378684213,-36.39933151894736,18,12
KIALLA EAST,145.49668755323526,-36.43870480647059,1,1
BYRNESIDE,145.15806909088235,-36.40400658382353,4,4
WARANGA,145.06443411142857,-36.490717168571436,3,3
CRAIGIEBURN,144.9442945577174,-37.58761332336957,1,1
MOORILIM,145.29897235394736,-36.62618584118421,2,2
WINCHELSEA,143.92827921547007,-38.2626998125641,1,1
TATURA,145.19564855000002,-36.46572056695653,11,11
ROCHESTER,144.6921261137662,-36.368759624285715,19,12
HORFIELD,144.20580053915253,-35.89854177542373,1,1
KAMAROOKA NORTH,144.31531377692306,-36.39291857538461,3,3
SHEPPARTON EAST,145.49073254830986,-36.41510488957748,8,8
SWANPOOL,145.9874700327397,-36.722672658082196,2,2
BUNBARTHA,145.31882409186528,-36.24907579150259,1,1
APPIN SOUTH,143.881416818,-35.920505331,1,1
KENLEY,143.31803896109946,-34.83162800073299,4,4
TALLANGATTA,147.19653737227515,-36.227668010370365,1,1
FISH POINT,143.7490104531579,-35.442480991684214,2,2
CONGUPNA,145.46737365099997,-36.28933175066666,1,1
ARDMONA,145.3073505547222,-36.38127925916667,6,6
BURKES FLAT,143.55699145560607,-36.64028867545454,1,1
HARSTON,145.1177208076471,-36.46823143411764,3,3
LAANG,142.80357090692308,-38.37036205487179,2,2
PANITYA,141.03911066221053,-35.13105227357895,2,2
THOLOGOLONG,147.42295275753622,-35.977919030289854,1,1
PINE MOUNTAIN,147.83576248060402,-36.00481431442953,1,1
TOWONG,147.9876351278161,-36.1166508940613,1,1
MARNOO WEST,142.7757420116949,-36.68781624940678,1,1
UPPER LURG,146.19422503244445,-36.59221250088889,1,1
KERANG EAST,144.02880172955358,-35.770155505089285,1,1
ARCHDALE,143.51137168233333,-36.827905404,1,1
THE HEART,147.17751539379998,-38.1215608719,3,3
WINNINDOO,146.7604688495,-38.07019941925,1,1
TELANGATUK EAST,142.00387793683333,-37.16564126877778,3,3
ROSSBRIDGE,142.86034974414633,-37.50635183292683,2,2
MURCHISON NORTH,145.27512363431816,-36.57870011261364,6,6
COOMBOONA,145.3125405369427,-36.257597484076435,2,2
MOONAMBEL,143.2814071893548,-36.987565976129034,2,2
TALLYGAROOPNA,145.4271833354,-36.2388500938,3,3
MOOROOPNA NORTH,145.33506918056605,-36.32674042056603,1,1
MOYREISK,143.38543274510639,-36.86793612297872,1,1
SMEATON,143.95600725458334,-37.31463217499999,1,1
GOBARUP,144.8490929774138,-36.68640630232759,1,1
ST ANDREWS BEACH,144.831818344,-38.41991334657143,1,1
CATUMNAL,143.621157582,-36.079210165999996,1,1
OXLEY,146.37718745429905,-36.43738011990654,1,1
GLENGOWER,143.85670189098903,-37.20834511274725,1,1
GIRGARRE EAST,145.0812235009524,-36.444326754285726,4,4
BRUARONG,146.87160367790122,-36.415208458395064,1,1
BANNERTON,142.80453690515873,-34.74898182873015,1,1
STAVELY,142.63030687933332,-37.60910191177778,3,3
WAREEK,143.61840160895835,-37.00120855395833,1,1
BANYAN,142.7980146964706,-35.60241143529412,1,1
KAMAROOKA,144.3607460222581,-36.49924173451613,2,2
CRANBOURNE,145.27178013000002,-38.11961373933333,1,1
STANHOPE,144.9891635475,-36.450709180833336,20,12
TRAGOWEL,143.93348043297297,-35.830385932702704,1,1
TALLANDOON,147.23389353818183,-36.406357115999995,1,1
WONWONDAH,142.15560209526313,-36.87705501964911,1,1
WANDELLA,143.83334147833335,-35.73564176666667,1,1
AUCHMORE,144.10771040826089,-36.47694113695652,2,2
DINGWALL,143.8880654513402,-35.817892185773196,3,3
BAGSHOT NORTH,144.42037517210525,-36.595657908947366,2,2
MINCHA WEST,144.15652479976472,-35.90592747788235,4,4
BOWMANS FOREST,146.61512348709405,-36.4755214725641,1,1
COPE COPE,143.08533132351351,-36.47360431918919,1,1
BERRYBANK,143.47529631470587,-37.94462125019608,1,1
MERRIGUM,145.156472812,-36.374494856249996,10,10
BAEL BAEL,143.7439881465116,-35.669300325116275,1,1
JOEL JOEL,143.00709966812502,-37.009453885,2,2
PRANJIP,145.3701811975,-36.75284129979167,1,1
NURRABIEL,142.06743516765954,-36.96712530191489,1,1
HEYFIELD,146.79465633753966,-37.981381793492055,2,2
HANSONVILLE,146.2714906395082,-36.60757055459016,1,1
BONN,144.68846731349396,-36.413727200843375,2,2
MOORNAPA,147.22066550547487,-37.731421228379894,1,1
PARADISE,143.0626329640625,-36.82717681677084,1,1
MINCHA,144.05395122310347,-35.99783450620689,5,5
MOLKA,145.41277617034484,-36.68105921931035,1,1
WARRAK,143.1292562029032,-37.2824630083871,1,1
WAUBRA,143.61829570583333,-37.321314626875,1,1
YOUANMITE,145.69155929149997,-36.15661090049999,3,3
LAKE MERAN,143.79974291954545,-35.88767253818182,1,1
NARING,145.59192993260865,-36.055724990869564,2,2
WARTOOK,142.34640050192309,-37.02403978634616,3,3
COCHRANES CREEK,143.5740228508889,-36.69572450400001,1,1
LINDSAY,141.05091023228567,-37.61030108642858,2,2
REEDY LAKE,143.87648391528302,-35.665536114905656,2,2
EUROA,145.56306442064,-36.78546136335999,1,1
TEAL POINT,144.03647662861113,-35.68981415458333,1,1
ECHUCA WEST,144.66623766083333,-36.17921367,1,1
TONGALA,144.9603903565625,-36.257715059375,17,12
WHITEHEADS CREEK,145.28283878581394,-37.05631387844961,1,1
POOLAIJELO,141.11352585578314,-37.155213361204815,2,2
KOYUGA,144.87957919117648,-36.24096203117648,9,9
SPRINGHURST,146.48348706845238,-36.22009069333334,1,1
BORUNG,143.82249206193273,-36.30125631394957,1,1
MOOLORT,143.91924159891568,-37.07449281216868,1,1
HUNTERSTON,146.80711462488887,-38.61337770066667,1,1
LOCKINGTON,144.50721230206898,-36.27044666310344,10,10
BOUNDARY BEND,143.11606497826926,-34.71802177465384,1,1
MURCHISON EAST,145.24283509988373,-36.60601177116279,1,1
TAMLEUGH,145.607591786,-36.58632469599999,1,1
NATYA,143.244053865523,-34.950168765481166,1,1
MURRAYDALE,143.57256366800002,-35.277841925384614,2,2
GONN CROSSING,143.9318097079592,-35.502962196326536,2,2
KOONDROOK,144.14348357727275,-35.65381926481283,2,2
COHUNA,144.2553430265165,-35.75207104213213,1,1
BENAYEO,141.030727162,-36.85687142166666,1,1
BOLTON,142.97181551261906,-34.96036236285714,1,1
DRUNG,142.316157487,-36.723129699454546,1,1
TIMMERING,144.87604634277778,-36.35680784,2,2
INDIGO VALLEY,146.7539626347518,-36.192218532482265,2,2
GOROKE,141.48143964659576,-36.69220308617021,1,1
BURRAMBOOT,144.82009319901962,-36.534678303137255,1,1
RUTHERGLEN,146.4682038548649,-36.06309385256757,3,3
WAHGUNYAH,146.41826452,-35.99421155743363,1,1
GOORAMADDA,146.57402595887328,-35.983572831619725,1,1
BURRAMINE,145.88940563359552,-35.97737641365168,1,1
COBRAM,145.64748447436972,-35.90082419033614,1,1
KOONOOMOO,145.56341099719998,-35.8363565727,1,1
MYWEE,145.5061352262264,-35.82543945018868,2,2
ULUPNA,145.4539733523077,-35.83101452353846,1,1
MINGAY,143.33053333769232,-37.850078133846154,1,1
WEMEN,142.65837420357144,-34.78814981830357,1,1
YIELIMA,145.17992475910714,-35.860110956964284,3,3
LOWER MOIRA,144.9158869175346,-36.091796036980604,1,1
ECHUCA VILLAGE,144.8174507822,-36.11689858180001,2,2
POMPAPIEL,144.0942332673529,-36.34914214852942,2,2
BRIGHT,147.03546277867818,-36.71211269626437,1,1
ANTWERP,141.97258769629215,-36.27972223988764,2,2
CARAG CARAG,144.88021340833333,-36.45447859916667,1,1
COLBINABBIN,144.81312577312502,-36.605134540375005,1,1
BAMAWM,144.630056475,-36.26853095285714,13,12
FORREST,143.7008599473913,-38.51393954413043,1,1
BOBINAWARRAH,146.50363808019608,-36.543516272941176,1,1
MUMBANNAR,141.08713979954544,-37.97169566551136,3,3
BURNBANK,143.58020768999998,-37.22850439557143,1,1
LINDSAY POINT,141.02758531860337,-34.07026452709498,1,1
NEDS CORNER,141.43108040630597,-34.1658052175,2,2
NICHOLS POINT,142.22982678433962,-34.209404663584905,2,2
RED CLIFFS,142.29897905685823,-34.34296575846743,2,2
MYSIA,143.7520054185965,-36.229473735614036,2,2
IRAAK,142.3285348600885,-34.424790085575225,1,1
NANGILOC,142.32755985541667,-34.478977294687496,1,1
BAMAWM EXTENSION,144.596996934,-36.18539619599999,4,4
GELLIBRAND,143.57064308935486,-38.53302690174194,1,1
ELLERSLIE,142.65302764191665,-38.11336754241667,1,1
KUNAT,143.53958663800003,-35.5090728468,1,1
MINYIP,142.63047821181817,-36.473310764431815,1,1
WANDOWN,142.92139660848835,-34.81863163,1,1
KYABRAM,145.016527935,-36.31626029217391,4,4
OZENKADNOOK,141.3514501919643,-36.83816328732143,2,2
LAKE CHARM,143.83535243070966,-35.59409292690322,1,1
PINE GROVE,144.41406496608693,-36.21150053043478,1,1
LAKE WELLINGTON,147.30467524981202,-38.097264491616535,1,1
COORIEMUNGLE,143.14399330311107,-38.56401287125926,5,5
BEARII,145.34839808381818,-35.87348737418182,1,1
TANDARRA,144.20640704079997,-36.4368948816,1,1
INVERGORDON,145.55025890742857,-36.138227914999995,14,12
YEUNGROON,143.31502959326923,-36.3954840275,1,1
SHEPPARTON,145.3894766869565,-36.38105427191304,1,1
ROCKBANK,144.65501999933335,-37.73393481933333,1,1
KIALLA,145.39366738010753,-36.43176304403226,1,1
TARRAWINGEE,146.46306937086328,-36.40364236992806,1,1
NINDA,142.75107009333334,-35.43682801711112,1,1
PARAPARAP,144.18355051342107,-38.28529314421053,1,1
CALIVIL,144.1043883791379,-36.26416427793104,2,2
GREAT WESTERN,142.88139368394735,-37.163978435263154,1,1
GOULBURN WEIR,145.17231322394733,-36.71426851763158,2,2
PICOLA,145.09047032569893,-35.92914485833333,3,3
GERANGAMETE,143.72204839637683,-38.449560394927545,1,1
MILDURA,142.1302999864762,-34.18456136390476,8,8
IRYMPLE,142.18484831933333,-34.2618551505,1,1
ROBINVALE,142.75562277982684,-34.60709795571428,1,1
MURTOA,142.47506747233012,-36.565952436893205,1,1
KATUNGA,145.4624324186111,-36.00999931185185,18,12
GISBORNE SOUTH,144.6272759375,-37.544691509375,1,1
