Suburb,BoreCount,Intensity
SCOTCHMANS LEAD,0,0
BAW BAW VILLAGE,0,0
HEATHMONT,0,0
SHAYS FLAT,0,0
MILLOO,0,0
NUNGURNER,0,0
ILLOWA,0,0
SEAHOLME,0,0
DAWSON,0,0
IRONBARK,0,0
HUGHESDALE,0,0
JACANA,0,0
SEAVIEW,0,0
BARRAKEE,0,0
IRISHTOWN,0,0
TYLDEN SOUTH,0,0
YARROWEYAH,6,6
GUNBOWER,1,1
ALMA,0,0
QUARRY HILL,1,1
NORTH MELBOURNE,0,0
ARDEER,0,0
LEITCHVILLE,0,0
GRANYA,0,0
CHINTIN,0,0
LAKES ENTRANCE,0,0
HAVELOCK,0,0
LONG GULLY,0,0
CHARLEMONT,0,0
STIRLING,0,0
SUNDAY CREEK,0,0
CORNELLA,0,0
YALMY,0,0
BUCHAN,0,0
MCCRAE,0,0
LAKE BUNGA,0,0
FOOTSCRAY,0,0
GIL GIL,0,0
ELEVATED PLAINS,0,0
MOONLIGHT FLAT,0,0
NATHALIA,9,9
TERIP TERIP,0,0
STRADBROKE,0,0
HEATHERTON,0,0
SAILORS FALLS,0,0
HAMPTON EAST,0,0
FITZROY,0,0
GOLDEN POINT,0,0
GOWANBRAE,0,0
WALDARA,0,0
ORRVALE,8,8
YANGERY,0,0
COLLINGWOOD,0,0
NEWINGTON,0,0
EAGLEHAWK,0,0
CARNEGIE,0,0
WEST BENDIGO,0,0
LAVERTON,0,0
BANGERANG,0,0
BROOKVILLE,0,0
YAWONG HILLS,0,0
MOUNT ECCLES SOUTH,0,0
BALLARAT CENTRAL,0,0
KINGSBURY,0,0
THALLOO,0,0
MCKENZIE HILL,0,0
CAULFIELD EAST,0,0
SUNDERLAND BAY,0,0
RAWSON,0,0
CAMPERDOWN,0,0
WEST FOOTSCRAY,0,0
ALBANVALE,0,0
NORTH SHORE,0,0
THALIA,0,0
CHEWTON BUSHLANDS,0,0
DEWHURST,0,0
MCKINNON,0,0
TOTTENHAM,0,0
SOLDIERS HILL,0,0
ELLIMINYT,0,0
MODEWARRE,0,0
TIDAL RIVER,0,0
OAKLEIGH,0,0
MORIAC,1,1
ELLINBANK,0,0
BAYSWATER,0,0
MURCHISON,0,0
AVALON,0,0
YARRAVILLE,0,0
MELBOURNE,0,0
MOONEE PONDS,0,0
GLENROY,0,0
MAIDEN GULLY,0,0
MELWOOD,0,0
CHELSEA HEIGHTS,0,0
BLIND BIGHT,0,0
BALLARAT EAST,0,0
DROUIN EAST,0,0
BEND OF ISLANDS,0,0
WOODSIDE BEACH,0,0
YORK PLAINS,0,0
EPSOM,0,0
UPWEY,0,0
MANANGATANG,0,0
BASALT,0,0
VERMONT SOUTH,0,0
WAGGARANDALL,0,0
YABBA NORTH,0,0
MANIFOLD HEIGHTS,0,0
JAN JUC,0,0
EAGLEHAWK NORTH,0,0
KATANDRA,1,1
BOORHAMAN EAST,1,1
BLACKBURN SOUTH,0,0
BOX HILL SOUTH,0,0
CLEMATIS,0,0
SAFETY BEACH,0,0
CAPE WOOLAMAI,0,0
BITTERN,0,0
LESLIE MANOR,0,0
CROOKED RIVER,0,0
HAMLYN HEIGHTS,0,0
CURYO,0,0
ABBOTSFORD,0,0
COOLAROO,0,0
ASPENDALE,0,0
WILLIAMS LANDING,0,0
DARRIMAN,0,0
VICTORIA VALLEY,0,0
SILVERLEAVES,0,0
SUMMERLANDS,0,0
PARKDALE,0,0
TECOMA,0,0
GLEN HUNTLY,0,0
LAKE WONGAN,0,0
BAMGANIE,0,0
WATSONS CREEK,0,0
WILLIAMSTOWN NORTH,0,0
WARRANWOOD,0,0
WOODEND,0,0
CHAPEL FLAT,0,0
HOMERTON,0,0
SAMARIA,0,0
FRENCH ISLAND,1,1
GLENLOGIE,0,0
RAGLAN,0,0
WERRIBEE SOUTH,0,0
POINT COOK,0,0
ARCADIA SOUTH,0,0
CHUTE,0,0
HOMEBUSH,0,0
MARSHALL,0,0
HAVEN,0,0
LOWER NORTON,0,0
MOUNT LONARCH,0,0
BESSIEBELLE,0,0
NUMURKAH,3,3
SIMPSON,0,0
WOORINEN,1,1
IRREWILLIPE,0,0
CARLISLE RIVER,1,1
ARCHERTON,0,0
BLACK HILL,0,0
TATONG,0,0
DRUMCONDRA,0,0
AIRE VALLEY,0,0
APOLLO BAY,0,0
BEECH FOREST,0,0
NOORAT EAST,0,0
SPOTSWOOD,0,0
NEWPORT,0,0
BUCKLEY,0,0
MOUNT MORIAC,0,0
CARINA,1,1
KINGSVILLE,0,0
BARRYS REEF,0,0
BENNISON,0,0
BOX HILL,0,0
FRANKSTON NORTH,0,0
LILLICO,0,0
NUNAWADING,0,0
TOOTGAROOK,1,1
MOOROODUC,0,0
MOUNT SABINE,0,0
BLAIRGOWRIE,1,1
NORLANE,0,0
FITZROY NORTH,0,0
ALBION,0,0
FRAMLINGHAM,0,0
HAZELWOOD,0,0
SALE,0,0
CASTLE DONNINGTON,0,0
BOWEYA NORTH,0,0
BELGRAVE HEIGHTS,0,0
GEELONG WEST,0,0
CROYDON HILLS,0,0
JEFFCOTT,0,0
MEADOW HEIGHTS,0,0
COBAINS,1,1
ATTWOOD,0,0
LEONGATHA,0,0
MARCUS HILL,0,0
MIDDLE PARK,0,0
BRAVINGTON,0,0
CARDIGAN VILLAGE,0,0
HUNTINGDALE,0,0
INVERLOCH,1,1
BALACLAVA,0,0
SOUTH KINGSVILLE,0,0
SURF BEACH,0,0
ALBERT PARK,0,0
YALLAMBIE,0,0
ALPHINGTON,0,0
BALLARAT NORTH,0,0
STANHOPE SOUTH,1,1
ELWOOD,0,0
ELSTERNWICK,0,0
DUMBALK,0,0
BONBEACH,0,0
BELL PARK,0,0
PORTARLINGTON,0,0
BULLARTO,0,0
MURRUMBEENA,0,0
CHELSEA,0,0
SASSAFRAS,0,0
LAKE WENDOUREE,0,0
MOORABBIN,0,0
MOUNT EVELYN,0,0
SPRINGVALE SOUTH,0,0
KOO WEE RUP NORTH,0,0
YARRABERB,2,2
BARWIDGEE,0,0
HILLCREST,0,0
CHOCOLYN,0,0
GLENORMISTON SOUTH,0,0
NORTH WANGARATTA,0,0
DOOKIE COLLEGE,0,0
BRIMBOAL,0,0
NALANGIL,0,0
CARALULUP,0,0
RHYLL,0,0
TAROON,0,0
BULLAHARRE,0,0
WOODEND NORTH,0,0
ARTHURS SEAT,0,0
FLYNNS CREEK,0,0
GOSCHEN,0,0
BIG HILL,0,0
FRYERSTOWN,0,0
KORWEINGUBOORA,0,0
SPRINGDALLAH,0,0
HOWQUA INLET,0,0
BUNDALONG SOUTH,0,0
COSGROVE,0,0
FRAMLINGHAM EAST,0,0
MURRINDAL,0,0
KARDELLA,0,0
NUGGETTY,0,0
SAWMILL SETTLEMENT,0,0
BROOKLYN,0,0
PHEASANT CREEK,0,0
NULLAWARRE NORTH,0,0
HAWTHORN,0,0
TREMONT,0,0
BELLELLEN,0,0
CARRAJUNG SOUTH,0,0
ROSES GAP,0,0
RED HILL SOUTH,0,0
MOUNT FRANKLIN,0,0
GLENLEE,0,0
BAGSHOT,0,0
